"Step","val_rev_accuracy"	"val_math_accuracy"	"val_ans_accuracy"
"63000","93.30624307351312"	"97.01608048843408"	"99.8317493840197"
"64000","91.16384016303952"	"96.70268691588785"	"99.85811527424543"
"65000","94.14394605687481"	"96.7990099341071"	"99.91415161387928"
"66000","94.282130736314"	"96.2712610431666"	"99.86464024462944"
"67000","92.53643456499337"	"97.20245469474776"	"99.82603612391581"
"68000","91.89759255218561"	"96.56172578403529"	"99.860198765502"
"69000","94.2328857583095"	"96.74625391075251"	"99.91365030134283"
"70000","94.54921973226831"	"96.27798421521359"	"99.84819375105177"
"71000","91.899852724595"	"97.24726013677855"	"99.8357581087811"
"72000","91.68802636396924"	"96.4519056261343"	"99.86263930281501"
"73000","94.90358126721763"	"96.81977583717253"	"99.91302081866074"
"74000","93.93393393393393"	"96.35533319759155"	"99.83227010828755"
"75000","92.20873084706562"	"97.17248160176385"	"99.84323966638003"
"76000","92.15024576333359"	"96.5341705785527"	"99.8753442119571"
"77000","94.62779877871475"	"96.75313918430905"	"99.90773315866022"
"78000","93.99340922708208"	"96.5417527294187"	"99.8231367952668"
"79000","92.24207072548305"	"97.02725749066423"	"99.8548538779566"
"80000","92.17739003998547"	"96.53759539597148"	"99.87673484295105"
"81000","94.66666666666667"	"96.69139368476334"	"99.89512470657793"
"82000","93.46210995542347"	"96.76164631388512"	"99.82910532434968"
"83000","92.31324431613136"	"96.93953648462598"	"99.84757509063584"
"84000","92.52413380228991"	"96.3604362447748"	"99.88656039166517"
"85000","94.39489522152128"	"96.82454969979986"	"99.88548465283583"
"86000","93.83195370302542"	"96.78345950151103"	"99.81616939027764"
"87000","91.40471869328493"	"96.92022887916526"	"99.86585944495778"
"88000","93.54479274996285"	"96.52629471436198"	"99.88792614332846"
"89000","93.92492470432676"	"96.63356973995272"	"99.87251860277571"
"90000","94.16807092094659"	"96.9980088834431"	"99.81340415123348"
"91000","91.22591817591457"	"96.83774556444843"	"99.8745178231166"
"92000","93.93984184465302"	"96.70760039827414"	"99.89554598255127"
"93000","93.84940901794835"	"96.47878282082559"	"99.85639851693725"
"94000","93.54910383646867"	"97.05933631661533"	"99.83521367761612"
"95000","90.96442286790813"	"96.77288410797645"	"99.85883390404261"
"96000","94.25270439325925"	"96.80896938335489"	"99.90741392663521"
"97000","94.25304207594193"	"96.41124497991967"	"99.85688542085833"
"98000","92.84018400356135"	"97.13425544605072"	"99.82370902116196"
